"artifactId","numIncoming"
"org.http4k:http4k-core","35985"
"javax.mail:mail","35947"
"de.cronn:reflection-util","35855"
"com.github.stefanbirkner:system-lambda","35505"
"io.grpc:grpc-context","35263"
"org.springframework.integration:spring-integration-core","35242"
"org.apache.camel:camel-support","35225"
"org.typelevel:cats-effect_2.13","35141"
"io.github.vigoo:zio-aws-core_3","34945"
"org.codehaus.groovy:groovy-sql","34916"
"org.powermock:powermock-reflect","34730"
"org.apache.maven:maven-project","34622"
"org.apache.camel.springboot:camel-spring-boot-dependencies","34469"
"org.apache.logging.log4j:log4j-jul","34395"
"org.jboss.narayana.jta:narayana-jta","34321"
"javax.activation:activation","34195"
"org.apache.poi:poi-ooxml","34052"
"xerces:xercesImpl","33666"
"org.apache.ant:ant","33646"
"com.amazonaws:aws-java-sdk-s3","33526"
"org.springframework:spring-jcl","33465"
"dom4j:dom4j","33424"
"jakarta.inject:jakarta.inject-api","33423"
"io.undertow:undertow-core","33372"
"org.apache.synapse:synapse-core","33247"
"org.apache.camel.springboot:camel-core-starter","33183"
"org.osgi:org.osgi.service.component.annotations","32940"
"org.glassfish.jersey.inject:jersey-hk2","32922"
"org.apache.logging.log4j:log4j-slf4j2-impl","32905"
"androidx.constraintlayout:constraintlayout","32650"
"org.testcontainers:junit-jupiter","32615"
"io.grpc:grpc-core","32558"
"org.apache.zookeeper:zookeeper","32471"
"org.jetbrains.kotlin:kotlin-stdlib-jdk7","32457"
"org.springframework.boot:spring-boot-starter-mail","32425"
"com.jayway.jsonpath:json-path","32390"
"org.glassfish.jersey.core:jersey-client","32336"
"org.apereo.cas:cas-server-core-web-api","32140"
"com.fasterxml.jackson.module:jackson-module-parameter-names","32046"
"org.apache.logging.log4j:log4j-jcl","31752"
"org.reactivestreams:reactive-streams","31749"
"org.uberfire:uberfire-api","31665"
"org.apache.camel:camel-test-spring","31358"
"com.yahoo.vespa:annotations","31216"
"redis.clients:jedis","31176"
"org.scala-js:scalajs-library_2.11","31168"
"jakarta.activation:jakarta.activation-api","31109"
"org.scalatest:scalatest_2.10","30791"
"jakarta.enterprise:jakarta.enterprise.cdi-api","30567"
"net.java.dev.jna:jna","30555"
"com.google.auto.service:auto-service","30544"
"org.webjars:webjars-locator","30500"
"com.palantir.atlasdb:atlasdb-commons","30454"
"io.quarkus:quarkus-resteasy","30028"
"org.codehaus.jackson:jackson-core-asl","29925"
"org.typelevel:cats-effect_2.12","29768"
"com.google.protobuf:protobuf-java-util","29689"
"org.apache.logging.log4j:log4j-web","29681"
"javax.ws.rs:jsr311-api","29574"
"org.wso2.carbon.identity.inbound.auth.oauth2:org.wso2.carbon.identity.oauth","29484"
"org.apache.poi:poi","29460"
"org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.rest.api.util","29409"
"org.glassfish.jersey.core:jersey-server","29351"
"org.springframework.boot:spring-boot-starter-data-jdbc","29345"
"io.netty:netty-codec-http","29311"
"org.finos.legend.engine:legend-engine-protocol-pure","29286"
"org.sdase.commons:sda-commons-server-dropwizard","29259"
"cglib:cglib","29251"
"org.apache.derby:derby","29243"
"com.squareup.retrofit2:converter-gson","29210"
"org.jmockit:jmockit","29186"
"org.easymock:easymockclassextension","29090"
"org.finos.legend.engine:legend-engine-shared-core","28887"
"org.xerial.snappy:snappy-java","28816"
"org.jboss.errai:errai-bus","28768"
"org.apache.cxf:cxf-rt-rs-service-description","28687"
"io.github.microutils:kotlin-logging-jvm","28681"
"org.finos.legend.engine:legend-engine-language-pure-compiler","28654"
"com.typesafe.akka:akka-stream_2.13","28532"
"org.jetbrains.kotlinx:kotlinx-serialization-json","28516"
